state,year,month,dn,count,avg_brightness,median_frp,max_day_count,max_day_date,pct_night
Colorado,2012,5,A,72,332.2277777777778,60.05,,,0.2916666666666667
Colorado,2012,6,A,965,358.080310880829,97.5,,,0.39067357512953366
Colorado,2012,7,A,43,338.8581395348837,69.7,,,0.32558139534883723
Colorado,2012,8,A,35,336.3142857142857,37.1,,,0.2571428571428571
Colorado,2012,9,A,8,332.0125,44.9,,,0.0
Colorado,2012,10,A,94,335.2840425531915,40.3,,,0.1595744680851064
Colorado,2012,11,A,51,323.7196078431373,33.4,,,0.27450980392156865
Colorado,2012,12,A,5,322.15999999999997,11.0,,,0.8
Colorado,2013,1,A,12,325.03333333333336,24.799999999999997,,,0.0
Colorado,2013,2,A,10,318.09000000000003,18.6,,,0.0
Colorado,2013,3,A,25,319.58799999999997,11.5,,,0.0
Colorado,2013,4,A,16,335.375,34.2,,,0.0
Colorado,2013,5,A,7,328.0142857142857,24.5,,,0.0
Colorado,2013,6,A,784,362.7251275510204,114.85,,,0.20918367346938777
Colorado,2013,7,A,79,373.2556962025317,135.1,,,0.35443037974683544
Colorado,2013,8,A,54,337.93333333333334,39.6,,,0.0
Colorado,2013,9,A,2,324.5,34.0,,,0.5
Colorado,2013,10,A,9,316.1333333333333,21.0,,,0.0
Colorado,2013,11,A,30,320.25,30.3,,,0.0
Colorado,2013,12,A,8,316.175,19.049999999999997,,,0.0
Colorado,2014,1,A,3,308.3,21.7,,,0.0
Colorado,2014,2,A,7,320.37142857142857,26.9,,,0.0
Colorado,2014,3,A,51,318.71764705882356,13.1,,,0.0
Colorado,2014,4,A,19,322.39473684210526,18.3,,,0.0
Colorado,2014,5,A,19,329.94736842105266,42.8,,,0.05263157894736842
Colorado,2014,6,A,14,334.7785714285714,35.7,,,0.0
Colorado,2014,7,A,25,339.76,45.0,,,0.04
Colorado,2014,8,A,14,334.70714285714286,36.7,,,0.0
Colorado,2014,9,A,18,323.8388888888889,24.65,,,0.0
Colorado,2014,10,A,42,320.07142857142856,27.7,,,0.0
Colorado,2014,11,A,11,319.6363636363636,32.5,,,0.0
Colorado,2014,12,A,3,308.03333333333336,13.2,,,0.0
Colorado,2015,1,A,2,317.7,21.0,,,0.0
Colorado,2015,2,A,26,314.9307692307692,13.600000000000001,,,0.0
Colorado,2015,3,A,106,326.70377358490566,24.85,,,0.009433962264150943
Colorado,2015,4,A,55,330.36727272727273,38.5,,,0.0
Colorado,2015,5,A,14,325.6857142857143,24.049999999999997,,,0.0
Colorado,2015,6,A,24,332.2625,35.1,,,0.0
Colorado,2015,7,A,11,335.79090909090905,31.4,,,0.0
Colorado,2015,8,A,14,334.87857142857143,24.9,,,0.07142857142857142
Colorado,2015,9,A,47,342.5510638297872,63.2,,,0.02127659574468085
Colorado,2015,10,A,68,331.78088235294115,41.900000000000006,,,0.0
Colorado,2015,11,A,38,323.1578947368421,33.0,,,0.07894736842105263
Colorado,2016,1,A,15,326.5933333333333,34.2,,,0.0
Colorado,2016,2,A,20,315.99,23.299999999999997,,,0.0
Colorado,2016,3,A,59,320.90508474576274,19.2,,,0.0
Colorado,2016,4,A,48,333.9166666666667,38.75,,,0.041666666666666664
Colorado,2016,5,A,28,325.75714285714287,30.65,,,0.14285714285714285
Colorado,2016,6,A,161,351.61801242236027,80.0,,,0.3105590062111801
